id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario
39,2025-02-24T15:30:02,Brian Morales,follow,Ropa,4,136.46
40,2025-01-03T20:20:44,Joshua Allen,top,Libros,2,495.84
41,2025-01-12T12:22:10,Richard Ford,college,Hogar,5,75.78
42,2025-03-25T15:45:36,Tracy David,save,Electrónica,2,341.01
43,2025-07-08T07:26:45,Lori Campbell,feel,Electrónica,4,198.27
44,2025-04-17T01:36:58,Brian Williams,table,Electrónica,1,172.85
45,2025-07-20T20:42:08,Karen Jenkins,ground,Hogar,1,69.82
46,2025-08-20T22:30:54,Mr. James Torres II,term,Libros,5,364.04
47,2025-05-17T16:29:20,Cheryl Walker,ahead,Libros,5,257.03
48,2025-05-03T21:03:54,Alejandra Davis,into,Hogar,2,444.22
49,2025-07-04T11:05:25,Derrick Gomez,institution,Ropa,1,357.08
50,2025-06-02T23:49:43,Mark Johnson,culture,Libros,3,478.33
51,2025-02-01T18:11:45,Sandra Montgomery,better,Hogar,5,210.68
52,2025-05-21T16:37:32,Michael Buchanan,involve,Electrónica,2,61.07
53,2025-04-24T14:30:44,Kelly Bell,industry,Electrónica,3,117.41
54,2025-05-03T16:52:59,Benjamin Weber,recognize,Libros,3,282.52
55,2025-02-02T04:27:53,Joseph Wood,people,Ropa,3,307.16
56,2025-06-03T08:58:40,Michelle Lewis,part,Hogar,5,339.58
57,2025-07-10T12:46:06,Hannah Estrada,fish,Libros,1,338.43
58,2025-08-10T04:22:22,Adriana Sanders,per,Ropa,2,460.4
59,2025-08-27T23:13:30,Clifford Gould,next,Libros,1,42.25
60,2025-06-06T19:23:51,Nichole Henderson,set,Electrónica,4,149.82
61,2025-01-13T12:10:48,Leslie Harper,professional,Electrónica,5,393.93
62,2025-01-29T04:01:52,Erica Graham,spend,Libros,2,160.88
63,2025-01-23T14:19:46,Teresa Gonzalez,speech,Libros,1,252.37
64,2025-04-07T11:00:56,Daniel Davis,lay,Ropa,4,177.92
65,2025-03-30T20:52:57,Elizabeth Herring,continue,Ropa,5,473.75
66,2025-08-24T18:21:17,Jason Powell,ball,Hogar,2,203.51
67,2025-07-12T15:34:00,Chad Morales,article,Ropa,5,104.66
68,2025-04-17T03:31:48,Brenda Shepherd,level,Ropa,1,415.82
69,2025-02-08T21:05:23,Robert Fritz,debate,Hogar,4,419.38
70,2025-03-28T21:32:05,Robin Martinez,however,Libros,2,273.6
71,2025-06-03T11:47:44,Cathy Lewis,democratic,Libros,5,427.99
72,2025-01-04T02:32:20,Casey Anderson,opportunity,Hogar,4,297.04
73,2025-08-12T00:50:19,Andrew Cruz,government,Electrónica,1,167.54
74,2025-03-31T09:38:18,Lindsay Mendez,theory,Ropa,5,102.5
75,2025-01-28T12:45:43,Dylan Roy,remain,Libros,4,30.23
76,2025-07-15T16:49:21,Cody Ward,song,Hogar,1,61.24
77,2025-01-30T07:28:30,Jonathan Cox,once,Electrónica,2,406.66
78,2025-06-26T12:05:08,Michelle Lara,probably,Libros,5,29.47
79,2025-04-18T16:24:04,Sherri Atkinson,choose,Libros,5,415.0
80,2025-07-07T02:09:40,Jennifer Davis,rise,Ropa,2,9.58
81,2025-01-23T03:54:24,Antonio Banks,their,Hogar,1,196.84
82,2025-03-03T09:50:19,Eric Peterson,nearly,Electrónica,4,256.43
83,2025-06-30T02:50:41,Vanessa Christensen,gun,Hogar,5,143.37
84,2025-05-17T12:26:02,Kathy Martinez,budget,Electrónica,5,190.15
85,2025-07-16T22:44:46,Christina Cole,Congress,Electrónica,2,449.98
86,2025-08-28T22:12:49,Bryan Short,way,Electrónica,3,263.59
87,2025-05-06T03:49:04,Justin Heath,make,Libros,5,26.4
88,2025-04-09T13:05:17,Jasmine Osborne,me,Ropa,1,20.31
89,2025-07-12T23:47:10,Tiffany Harvey,charge,Hogar,2,320.79
90,2025-03-25T18:55:54,Gary Diaz,follow,Ropa,5,383.48
91,2025-03-07T11:16:36,Garrett Brooks,rather,Libros,5,202.94
92,2025-01-19T06:20:51,Charles Marshall,take,Libros,5,119.96
93,2025-01-09T12:24:17,Ronnie Wagner,house,Electrónica,4,55.6
94,2025-04-28T01:56:53,April Hurley,shake,Electrónica,2,324.84
95,2025-03-16T04:44:28,Christopher Huerta,cost,Hogar,2,72.95
96,2025-04-12T22:10:14,Michelle Jackson,growth,Electrónica,1,317.99
97,2025-03-06T13:47:01,Shelby Cardenas,professional,Ropa,1,78.81
98,2025-03-17T22:07:35,Arthur Miller,face,Ropa,1,154.49
99,2025-08-14T21:58:01,Sean Mills,important,Libros,2,38.65
100,2025-03-21T20:02:54,Luis Delacruz,owner,Electrónica,4,293.92
